id,carrier_name,name,level,plan_type,individual_medical_deductible,family_medical_deductible,individual_medical_moop,family_medical_moop,plan_coinsurance,hsa_eligible,infertility_treatment_rider,individual_drug_deductible,family_drug_deductible,primary_care_physician,network_size,individual_medical_deductible_in_network,individual_medical_deductible_out_of_network,family_medical_deductible_in_network,family_medical_deductible_out_of_network,individual_medical_moop_in_network,individual_medical_moop_out_of_network,family_medical_moop_in_network,family_medical_moop_out_of_network,coinsurance_in_network,coinsurance_out_of_network,individual_drug_deductible_in_network,family_drug_deductible_in_network,primary_care_physician_in_network_cleaned,primary_care_physician_out_of_network_cleaned,pcp_cleaned_dollar_values_in_network,pcp_cleaned_percentages_in_network,pcp_initial_visits_in_network,pcp_after_deductible_in_network,pcp_cleaned_dollar_values_out_of_network,pcp_cleaned_percentages_out_of_network,pcp_initial_visits_out_of_network,pcp_after_deductible_out_of_network
70285CA8160010,BlueShield of California,Bronze Full PPO 6850/55 OffEx,expanded_bronze,PPO,"In-Network: $6,850 / Out-of-Network: $10,850","In-Network: $13,700 / Out-of-Network: $21,700","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 35% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $55 after deductible / Out-of-Network: 50% after deductible,63374,6850,10850,13700,21700,9100,18200,18200,36400,35,50,650,1300,first 3 visit(s) $0 then $55 after deductible,50% after deductible,"[0.0, 55.0]",[],3,True,[],[50.0],0,True
70285CA8160073,BlueShield of California,Bronze Full PPO 6850/55 OffEx INF,expanded_bronze,PPO,"In-Network: $6,850 / Out-of-Network: $10,850","In-Network: $13,700 / Out-of-Network: $21,700","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 35% / Out-of-Network: 50%,False,True,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $55 after deductible / Out-of-Network: 50% after deductible,63374,6850,10850,13700,21700,9100,18200,18200,36400,35,50,650,1300,first 3 visit(s) $0 then $55 after deductible,50% after deductible,"[0.0, 55.0]",[],3,True,[],[50.0],0,True
70285CA8160355,BlueShield of California,Bronze Full PPO 7500/65 OffEx,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,63374,7500,15000,15000,30000,9100,18200,18200,36400,50,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160356,BlueShield of California,Bronze Full PPO 7500/65 OffEx INF,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,63374,7500,15000,15000,30000,9100,18200,18200,36400,50,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160012,BlueShield of California,Bronze Full PPO Savings 5700/40% OffEx,expanded_bronze,PPO,"In-Network: $5,700 / Out-of-Network: $11,400","In-Network: $11,400 / Out-of-Network: $22,800","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 40% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 40% after deductible / Out-of-Network: 50% after deductible,63374,5700,11400,11400,22800,7500,15000,15000,30000,40,50,0,0,40% after deductible,50% after deductible,[],[40.0],0,True,[],[50.0],0,True
70285CA8160075,BlueShield of California,Bronze Full PPO Savings 5700/40% OffEx INF,expanded_bronze,PPO,"In-Network: $5,700 / Out-of-Network: $11,400","In-Network: $11,400 / Out-of-Network: $22,800","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 40% / Out-of-Network: 50%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 40% after deductible / Out-of-Network: 50% after deductible,63374,5700,11400,11400,22800,7500,15000,15000,30000,40,50,0,0,40% after deductible,50% after deductible,[],[40.0],0,True,[],[50.0],0,True
70285CA8160013,BlueShield of California,Bronze Full PPO Savings 7500 OffEx,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 0% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,63374,7500,10500,15000,21000,7500,15000,15000,30000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
70285CA8160076,BlueShield of California,Bronze Full PPO Savings 7500 OffEx INF,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 0% / Out-of-Network: 50%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,63374,7500,10500,15000,21000,7500,15000,15000,30000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
67138CA0730240,Health Net,Bronze HDHP PPO 7050/0%,expanded_bronze,PPO,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,67879,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
67138CA0730240-33,Health Net,Bronze HDHP PPO 7050/0% + Chiropractic,expanded_bronze,PPO,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,67879,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
67138CA0730506,Health Net,Bronze HDHP PPO 7050/0% INF,expanded_bronze,PPO,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,67879,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
67138CA0730506-33,Health Net,Bronze HDHP PPO 7050/0% INF + Chiropractic,expanded_bronze,PPO,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,67879,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
67138CA0730259,Health Net,Bronze PPO 6300/60,expanded_bronze,PPO,"In-Network: $6,300 / Out-of-Network: $12,600","In-Network: $12,600 / Out-of-Network: $25,200","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $60 then $60 after deductible / Out-of-Network: 50% after deductible,67879,6300,12600,12600,25200,9100,18200,18200,36400,40,50,500,1000,first 3 visit(s) $60 then $60 after deductible,50% after deductible,"[60.0, 60.0]",[],3,True,[],[50.0],0,True
67138CA0730259-33,Health Net,Bronze PPO 6300/60 + Chiropractic,expanded_bronze,PPO,"In-Network: $6,300 / Out-of-Network: $12,600","In-Network: $12,600 / Out-of-Network: $25,200","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $60 then $60 after deductible / Out-of-Network: 50% after deductible,67879,6300,12600,12600,25200,9100,18200,18200,36400,40,50,500,1000,first 3 visit(s) $60 then $60 after deductible,50% after deductible,"[60.0, 60.0]",[],3,True,[],[50.0],0,True
67138CA0730525,Health Net,Bronze PPO 6300/60 INF,expanded_bronze,PPO,"In-Network: $6,300 / Out-of-Network: $12,600","In-Network: $12,600 / Out-of-Network: $25,200","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,True,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $60 then $60 after deductible / Out-of-Network: 50% after deductible,67879,6300,12600,12600,25200,9100,18200,18200,36400,40,50,500,1000,first 3 visit(s) $60 then $60 after deductible,50% after deductible,"[60.0, 60.0]",[],3,True,[],[50.0],0,True
67138CA0730525-33,Health Net,Bronze PPO 6300/60 INF + Chiropractic,expanded_bronze,PPO,"In-Network: $6,300 / Out-of-Network: $12,600","In-Network: $12,600 / Out-of-Network: $25,200","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,True,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $60 then $60 after deductible / Out-of-Network: 50% after deductible,67879,6300,12600,12600,25200,9100,18200,18200,36400,40,50,500,1000,first 3 visit(s) $60 then $60 after deductible,50% after deductible,"[60.0, 60.0]",[],3,True,[],[50.0],0,True
70285CA8160836,BlueShield of California,Bronze Tandem PPO 5500/65 OffEx,expanded_bronze,PPO,"In-Network: $5,500 / Out-of-Network: $11,000","In-Network: $11,000 / Out-of-Network: $22,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,5500,11000,11000,22000,9100,18200,18200,36400,50,50,500,1000,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160874,BlueShield of California,Bronze Tandem PPO 5500/65 OffEx INF,expanded_bronze,PPO,"In-Network: $5,500 / Out-of-Network: $11,000","In-Network: $11,000 / Out-of-Network: $22,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,000 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,5500,11000,11000,22000,9100,18200,18200,36400,50,50,500,1000,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160183,BlueShield of California,Bronze Tandem PPO 6250/65 OffEx,expanded_bronze,PPO,"In-Network: $6,250 / Out-of-Network: $12,500","In-Network: $12,500 / Out-of-Network: $25,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,6250,12500,12500,25000,9100,18200,18200,36400,40,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160297,BlueShield of California,Bronze Tandem PPO 6250/65 OffEx INF,expanded_bronze,PPO,"In-Network: $6,250 / Out-of-Network: $12,500","In-Network: $12,500 / Out-of-Network: $25,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,6250,12500,12500,25000,9100,18200,18200,36400,40,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160855,BlueShield of California,Bronze Tandem PPO 6500/70 OffEx,expanded_bronze,PPO,"In-Network: $6,500 / Out-of-Network: $13,000","In-Network: $13,000 / Out-of-Network: $26,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $70 after deductible / Out-of-Network: 50% after deductible,52951,6500,13000,13000,26000,9100,18200,18200,36400,50,50,300,600,first 3 visit(s) $0 then $70 after deductible,50% after deductible,"[0.0, 70.0]",[],3,True,[],[50.0],0,True
70285CA8160893,BlueShield of California,Bronze Tandem PPO 6500/70 OffEx INF,expanded_bronze,PPO,"In-Network: $6,500 / Out-of-Network: $13,000","In-Network: $13,000 / Out-of-Network: $26,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $70 after deductible / Out-of-Network: 50% after deductible,52951,6500,13000,13000,26000,9100,18200,18200,36400,50,50,300,600,first 3 visit(s) $0 then $70 after deductible,50% after deductible,"[0.0, 70.0]",[],3,True,[],[50.0],0,True
70285CA8160503,BlueShield of California,Bronze Tandem PPO 6850/55 OffEx,expanded_bronze,PPO,"In-Network: $6,850 / Out-of-Network: $10,850","In-Network: $13,700 / Out-of-Network: $21,700","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 35% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $55 after deductible / Out-of-Network: 50% after deductible,52951,6850,10850,13700,21700,9100,18200,18200,36400,35,50,650,1300,first 3 visit(s) $0 then $55 after deductible,50% after deductible,"[0.0, 55.0]",[],3,True,[],[50.0],0,True
70285CA8160636,BlueShield of California,Bronze Tandem PPO 6850/55 OffEx INF,expanded_bronze,PPO,"In-Network: $6,850 / Out-of-Network: $10,850","In-Network: $13,700 / Out-of-Network: $21,700","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 35% / Out-of-Network: 50%,False,True,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: first 3 visit(s) $0 then $55 after deductible / Out-of-Network: 50% after deductible,52951,6850,10850,13700,21700,9100,18200,18200,36400,35,50,650,1300,first 3 visit(s) $0 then $55 after deductible,50% after deductible,"[0.0, 55.0]",[],3,True,[],[50.0],0,True
70285CA8160368,BlueShield of California,Bronze Tandem PPO 7500/65 OffEx,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,7500,10500,15000,21000,9100,18200,18200,36400,50,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160406,BlueShield of California,Bronze Tandem PPO 7500/65 OffEx INF,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 3 visit(s) $0 then $65 after deductible / Out-of-Network: 50% after deductible,52951,7500,10500,15000,21000,9100,18200,18200,36400,50,50,0,0,first 3 visit(s) $0 then $65 after deductible,50% after deductible,"[0.0, 65.0]",[],3,True,[],[50.0],0,True
70285CA8160541,BlueShield of California,Bronze Tandem PPO Savings 5700/40% OffEx,expanded_bronze,PPO,"In-Network: $5,700 / Out-of-Network: $11,400","In-Network: $11,400 / Out-of-Network: $22,800","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 40% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 40% after deductible / Out-of-Network: 50% after deductible,52951,5700,11400,11400,22800,7500,15000,15000,30000,40,50,0,0,40% after deductible,50% after deductible,[],[40.0],0,True,[],[50.0],0,True
70285CA8160674,BlueShield of California,Bronze Tandem PPO Savings 5700/40% OffEx INF,expanded_bronze,PPO,"In-Network: $5,700 / Out-of-Network: $11,400","In-Network: $11,400 / Out-of-Network: $22,800","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 40% / Out-of-Network: 50%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 40% after deductible / Out-of-Network: 50% after deductible,52951,5700,11400,11400,22800,7500,15000,15000,30000,40,50,0,0,40% after deductible,50% after deductible,[],[40.0],0,True,[],[50.0],0,True
70285CA8160560,BlueShield of California,Bronze Tandem PPO Savings 7500 OffEx,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 0% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,52951,7500,10500,15000,21000,7500,15000,15000,30000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
70285CA8160693,BlueShield of California,Bronze Tandem PPO Savings 7500 OffEx INF,expanded_bronze,PPO,"In-Network: $7,500 / Out-of-Network: $10,500","In-Network: $15,000 / Out-of-Network: $21,000","In-Network: $7,500 / Out-of-Network: $15,000","In-Network: $15,000 / Out-of-Network: $30,000",In-Network: 0% / Out-of-Network: 50%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,52951,7500,10500,15000,21000,7500,15000,15000,30000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
40733CA0110488,Aetna,CA Bronze MC 100 7050 HSA M,expanded_bronze,POS,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,35,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
40733CA0110835,Aetna,CA Bronze MC 100 7050 HSA wINF,expanded_bronze,POS,"In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 0% / Out-of-Network: 0%,True,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: $0 after deductible,35,7050,14100,14100,28200,7050,14100,14100,28200,0,0,0,0,$0 after deductible,$0 after deductible,[0.0],[],0,True,[0.0],[],0,True
40733CA0110718,Aetna,CA Bronze MC 50/50 8300,bronze,POS,"In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200","In-Network: $8,900 / Out-of-Network: $17,500","In-Network: $17,800 / Out-of-Network: $35,000",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 1 visit(s) $85 then $0 after deductible / Out-of-Network: 50% after deductible,35,8300,16600,16600,33200,8900,17500,17800,35000,50,50,0,0,first 1 visit(s) $85 then $0 after deductible,50% after deductible,"[85.0, 0.0]",[],1,True,[],[50.0],0,True
40733CA0110838,Aetna,CA Bronze MC 50/50 8300 wINF,bronze,POS,"In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200","In-Network: $8,900 / Out-of-Network: $17,500","In-Network: $17,800 / Out-of-Network: $35,000",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 1 visit(s) $85 then $0 after deductible / Out-of-Network: 50% after deductible,35,8300,16600,16600,33200,8900,17500,17800,35000,50,50,0,0,first 1 visit(s) $85 then $0 after deductible,50% after deductible,"[85.0, 0.0]",[],1,True,[],[50.0],0,True
40733CA0111431,Aetna,CA Bronze MC 55/50 5500,expanded_bronze,POS,"In-Network: $5,500 / Out-of-Network: $11,000","In-Network: $11,000 / Out-of-Network: $22,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 45% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $70 / Out-of-Network: 50% after deductible,35,5500,11000,11000,22000,9100,18200,18200,36400,45,50,0,0,$70,50% after deductible,[70.0],[],0,False,[],[50.0],0,True
40733CA0111432,Aetna,CA Bronze MC 55/50 5500 wINF,expanded_bronze,POS,"In-Network: $5,500 / Out-of-Network: $11,000","In-Network: $11,000 / Out-of-Network: $22,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 45% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $70 / Out-of-Network: 50% after deductible,35,5500,11000,11000,22000,9100,18200,18200,36400,45,50,0,0,$70,50% after deductible,[70.0],[],0,False,[],[50.0],0,True
40733CA0090085,Aetna,CA Bronze PPO 50/50 8300,bronze,PPO,"In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200","In-Network: $8,900 / Out-of-Network: $17,500","In-Network: $17,800 / Out-of-Network: $35,000",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 1 visit(s) $85 then $0 after deductible / Out-of-Network: 50% after deductible,35,8300,16600,16600,33200,8900,17500,17800,35000,50,50,0,0,first 1 visit(s) $85 then $0 after deductible,50% after deductible,"[85.0, 0.0]",[],1,True,[],[50.0],0,True
40733CA0090086,Aetna,CA Bronze PPO 50/50 8300 wINF,bronze,PPO,"In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200","In-Network: $8,900 / Out-of-Network: $17,500","In-Network: $17,800 / Out-of-Network: $35,000",In-Network: 50% / Out-of-Network: 50%,False,True,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: first 1 visit(s) $85 then $0 after deductible / Out-of-Network: 50% after deductible,35,8300,16600,16600,33200,8900,17500,17800,35000,50,50,0,0,first 1 visit(s) $85 then $0 after deductible,50% after deductible,"[85.0, 0.0]",[],1,True,[],[50.0],0,True
40733CA0090087,Aetna,CA Bronze PPO 55/50 5500,expanded_bronze,PPO,"In-Network: $5,500 / Out-of-Network: $11,000","In-Network: $11,000 / Out-of-Network: $22,000","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 45% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $70 / Out-of-Network: 50% after deductible,35,5500,11000,11000,22000,9100,18200,18200,36400,45,50,0,0,$70,50% after deductible,[70.0],[],0,False,[],[50.0],0,True
